index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
165,PRODUCE 101 第二季,安俊英,"宝儿,李硕薰,申宥美,朴嘉熙,权宰胜",8.6,https://movie.douban.com/subject/27000583/, 韩国, 韩语,2017
166,粉雄救兵 第二季,,"安东尼·波罗夫斯基,鲍比·伯克,卡拉莫·布朗,乔纳森·凡·奈斯,谭·法郎士",9.4,https://movie.douban.com/subject/30180156/, 美国, 英语,2018
167,非正式会谈 第3.5季,"万龙华,马骁,陶瑶,赵琛,宋晓莉,古雪颖","大左,杨迪,陈铭,贝乐泰,功必扬",8.5,https://movie.douban.com/subject/27602135/, 中国大陆, 汉语普通话,2017
168,我家那小子 第一季,陈歆宇,"陈学冬,钱枫,武艺,朱雨辰,徐海乔",6.7,https://movie.douban.com/subject/30259902/, 中国大陆, 汉语普通话,2018
169,拜托了冰箱 第四季,胡悦,"何炅,王嘉尔,黄磊,张杰,马天宇",6.9,https://movie.douban.com/subject/30204135/, 中国大陆, 汉语普通话,2018
170,花样青春：WINNER篇,罗英石,"姜昇润,宋旻浩,李昇勋,金秦禹,罗英石",9.1,https://movie.douban.com/subject/27168792/, 韩国, 韩语,2017
171,晓说2018,,"高晓松,徐克,吴宇森,冯小刚,樊建川",8.6,https://movie.douban.com/subject/30129066/, 中国大陆, 汉语普通话 / 英语 / 粤语,2018
172,歌手2018,"洪涛,洪啸","汪峰,张韶涵,洁茜J ,李圣杰,周延",6.6,https://movie.douban.com/subject/27180851/, 中国大陆, 汉语普通话,2018
173,街头美食斗士,朴熙妍,白钟元,9.3,https://movie.douban.com/subject/30207995/, 韩国, 韩语,2018
174,了不起的挑战,陈涤,"撒贝宁,华少,乐嘉,阮经天,沙溢",8.8,https://movie.douban.com/subject/26347994/, 中国大陆 / 韩国, 汉语普通话,2015
